,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,LP5_c1_surpass_rade,LP5_makespan,LP5_makespan_c1,LP5_makespan_c2,LP5_workload_rade,LP6_c1_surpass_rade,LP6_makespan,LP6_makespan_c1,LP6_makespan_c2,LP6_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_402,0.0,770067.0,586498.0,770067.0,99.11020344528502,0.0,770067.0,586498.0,770067.0,99.11020344528502,0.0,770067.0,586498.0,770067.0,99.11020344528502,0.0,770067.0,586498.0,770067.0,99.11020344528502,0.0,770067.0,586498.0,770067.0,99.11020344528502,0.0,586498.0,770067.0,99.11020344528502,0.0,770067.0,586498.0,770067.0,99.11020344528502
new_403,0.0,876986.0,390490.0,876986.0,94.34061399008549,0.0,876986.0,390490.0,876986.0,94.34061399008549,0.0,876986.0,390490.0,876986.0,94.34061399008549,0.0,876986.0,390490.0,876986.0,94.34061399008549,0.0,876986.0,390490.0,876986.0,94.34061399008549,0.0,390490.0,876986.0,94.34061399008549,0.0,876986.0,390490.0,876986.0,94.34061399008549
new_404,0.0,581426.0,497594.0,581426.0,95.2769392308702,0.7642204432957206,522710.0,501426.0,522710.0,97.94264871890586,0.7642204432957206,581426.0,501426.0,581426.0,97.08551101021992,0.0,581426.0,497594.0,581426.0,95.2769392308702,0.7642204432957206,522710.0,501426.0,522710.0,97.94264871890586,6.081379502995391,529814.0,490490.0,97.10684263137296,0.0,581426.0,497594.0,581426.0,95.2769392308702
new_405,0.0,969918.0,589882.0,969918.0,88.66119155701202,1.0275064344989815,1002075.0,596006.0,1002075.0,84.95822496784179,1.9794148828336608,1003831.0,601794.0,1003831.0,84.86583822358074,0.0,969918.0,589882.0,969918.0,88.66119155701202,0.0,845090.0,589882.0,845090.0,98.44456610985598,1.9794148828336608,601794.0,1003831.0,84.86583822358074,0.0,969918.0,589882.0,969918.0,88.66119155701202
new_406,0.0,961514.0,674058.0,961514.0,99.95379857322445,1.1914639116018213,908102.0,682186.0,908102.0,99.97856338273232,1.109125639287695,928086.0,681618.0,928086.0,99.99993933524163,0.0,961514.0,674058.0,961514.0,99.95379857322445,1.109125639287695,928086.0,681618.0,928086.0,99.99993933524163,2.487088607594937,691250.0,917334.0,99.99993933524163,0.0,961514.0,674058.0,961514.0,99.95379857322445
new_407,0.0,971002.0,674058.0,971002.0,99.9999437090184,0.0,971002.0,674058.0,971002.0,99.9999437090184,2.693174961095055,971002.0,692714.0,971002.0,99.9999437090184,0.0,971002.0,674058.0,971002.0,99.9999437090184,0.0,971002.0,674058.0,971002.0,99.9999437090184,8.33906731467455,735382.0,971003.0,99.9999437090184,0.0,971002.0,674058.0,971002.0,99.9999437090184
new_408,0.0,1124094.0,661618.0,1124094.0,96.96051868887449,0.0,1126194.0,661618.0,1126194.0,97.53017508712786,0.0,1126194.0,661618.0,1126194.0,97.57844059852874,0.0,1126194.0,661618.0,1126194.0,97.39622853090648,0.0,1124094.0,661618.0,1124094.0,98.0341076029118,2.1405434187756067,676090.0,1117887.0,99.26882900803382,0.0,1124094.0,661618.0,1124094.0,98.0341076029118
new_409,0.0,938226.0,617838.0,938226.0,96.0792312729524,8.161226740711893,1042886.0,672742.0,1042886.0,99.9999415659507,11.41777327900395,1018547.0,697474.0,1018547.0,99.95804732722924,0.0,938226.0,617838.0,938226.0,96.0792312729524,11.41777327900395,1018547.0,697474.0,1018547.0,99.95804732722924,12.348236148666862,704878.0,1042930.0,99.9999415659507,0.0,938226.0,617838.0,938226.0,96.0792312729524
new_410,8.161226740711893,1115274.0,672742.0,1115274.0,88.85597130338581,8.161226740711893,1115274.0,672742.0,1115274.0,88.11425357395184,10.855406493390316,1095430.0,693074.0,1095430.0,89.81134900621991,6.521035255954416,1064910.0,660938.0,1064910.0,93.8190227911586,0.0,1015722.0,617838.0,1015722.0,95.80590985375638,8.477393321541893,675066.0,1103642.0,88.12908948645328,0.0,1015722.0,617838.0,1015722.0,95.80590985375638
new_411,0.0,390490.0,390490.0,290491.0,99.37801799188328,0.0,390490.0,390490.0,290491.0,99.37801799188328,0.0,390490.0,390490.0,290491.0,99.37801799188328,0.0,390490.0,390490.0,290491.0,99.37801799188328,0.0,390490.0,390490.0,290491.0,99.37801799188328,0.0,390490.0,290491.0,99.37801799188328,0.0,390490.0,390490.0,290491.0,99.37801799188328
