,improve,makespan1,makespan2,makespan3,number_of_edges,number_of_nodes,priotime,type1,type2,type3,,
138,98.69411855,1708,1708,1708,3946,202,2.149255276,2.413029671,2.192541838,0.031511307,TRUE,TRUE
139,98.70634026,1676,1676,1676,3980,202,2.252111673,2.474160433,2.47066474,0.032007217,TRUE,TRUE
140,98.84065632,1681,1681,1681,3997,202,2.289906502,2.674576044,2.34962821,0.031007528,TRUE,TRUE
141,98.71833994,1749,1749,1749,3680,202,2.170205355,2.380632639,2.207802534,0.030511618,TRUE,TRUE
142,98.74982289,1674,1674,1674,3776,202,2.377016783,2.412988186,2.242288351,0.030166626,TRUE,TRUE
143,98.69342647,1645,1645,1645,3308,202,2.038528442,2.221264601,2.302791119,0.029022455,TRUE,TRUE
144,92.08878663,673,673,673,21,22,0.011001825,0.012642384,0.016049147,0.001000166,TRUE,TRUE
145,85.71671803,483,483,483,27,22,0.01200366,0.014003038,0.01300478,0.002000093,TRUE,TRUE
146,92.44640605,391,391,391,26,22,0.011033535,0.013234615,0.014003515,0.000999689,TRUE,TRUE
147,92.85714286,679,679,679,21,22,0.011002302,0.014002323,0.013003588,0.001000166,TRUE,TRUE
148,93.17468321,506,506,506,24,22,0.011002302,0.014657259,0.013049603,0.001000404,TRUE,TRUE
149,92.85775092,323,323,323,24,22,0.011002779,0.014003515,0.013003826,0.001000166,TRUE,TRUE
150,86.66772554,659,659,659,21,22,0.011237144,0.015010834,0.012379408,0.002001286,TRUE,TRUE
151,92.31445849,510,510,510,25,22,0.011202574,0.013010502,0.015003681,0.000999928,TRUE,TRUE
152,92.8593319,333,333,333,29,22,0.012020111,0.014003277,0.013507843,0.000999928,TRUE,TRUE
153,94.13625002,709,709,709,21,22,0.011002541,0.017264128,0.014040232,0.001012325,TRUE,TRUE
154,85.71282628,454,454,454,27,22,0.012003183,0.014002562,0.013003349,0.00200057,TRUE,TRUE
155,93.33195608,379,379,379,27,22,0.012507915,0.015002966,0.013003588,0.001000404,TRUE,TRUE
156,85.57345229,262,262,262,31,22,0.011003256,0.0140028,0.013716221,0.002020121,TRUE,TRUE
157,92.77955598,194,194,194,30,22,0.012001514,0.014003754,0.014071465,0.001011133,TRUE,TRUE
158,93.75037245,176,176,176,30,22,0.011002064,0.016003609,0.01400423,0.001000166,TRUE,TRUE
159,84.92265586,292,292,292,29,22,0.01100421,0.013763666,0.013188601,0.002075195,TRUE,TRUE
160,93.81452383,183,183,183,32,22,0.022052288,0.016235113,0.012695313,0.001004219,TRUE,TRUE
161,92.8562916,185,185,185,29,22,0.011014223,0.014003992,0.013002634,0.001000404,TRUE,TRUE
162,87.15099025,250,250,250,39,22,0.011193275,0.015746117,0.017163992,0.00202322,TRUE,TRUE
163,84.87577033,192,192,192,37,22,0.013115644,0.013424635,0.013023615,0.002030373,TRUE,TRUE
164,86.08896211,189,189,189,42,22,0.01303339,0.014472008,0.013395309,0.002013206,TRUE,TRUE
165,94.12714318,310,310,310,41,22,0.013009548,0.017131805,0.014003515,0.001006126,TRUE,TRUE
166,94.21364584,273,273,273,35,22,0.012108803,0.017618656,0.07050705,0.001019478,TRUE,TRUE
167,85.96231315,220,220,220,41,22,0.014003277,0.014322758,0.014610529,0.002010584,TRUE,TRUE
168,93.75204887,172,172,172,36,22,0.012510538,0.016000271,0.013003588,0.000999689,TRUE,TRUE
169,93.79713145,168,168,168,36,22,0.013427496,0.016124249,0.013118267,0.001000166,TRUE,TRUE
170,92.92089147,171,171,171,36,22,0.013051748,0.014131784,0.013003588,0.001000404,TRUE,TRUE
171,92.84341096,162,162,162,36,22,0.012055874,0.014261961,0.015004158,0.00102067,TRUE,TRUE
172,84.40753776,169,169,169,37,22,0.014057636,0.01300621,0.013237,0.002027988,TRUE,TRUE
173,85.05992622,178,178,178,35,22,0.012002945,0.013507128,0.014183283,0.002017975,TRUE,TRUE
174,93.27051421,203,203,203,41,22,0.011002779,0.015004158,0.013204336,0.001009703,TRUE,TRUE
175,93.6107685,185,185,185,54,22,0.012003422,0.015657663,0.014003515,0.001000404,TRUE,TRUE
176,92.95982555,185,185,185,73,22,0.014011383,0.014213324,0.014513016,0.001000643,TRUE,TRUE
177,86.59346596,171,171,171,52,22,0.012001991,0.015004158,0.013180017,0.002011538,TRUE,TRUE
178,92.9489657,185,185,185,57,22,0.012172699,0.014188051,0.015011072,0.001000404,TRUE,TRUE
179,93.33386302,192,192,192,57,22,0.01363945,0.015003681,0.014003277,0.001000166,TRUE,TRUE
180,97.9838207,8774,8774,8774,251,252,1.552414179,1.686744213,1.645555973,0.034007788,TRUE,TRUE
181,98.09455929,5453,5453,5453,314,252,1.663038969,1.732420444,1.641326427,0.033010244,TRUE,TRUE
182,98.19247531,3514,3514,3514,330,252,1.521057367,1.687927723,1.736993313,0.03050971,TRUE,TRUE
183,98.00710085,8598,8598,8598,251,252,1.482027054,1.666514158,1.698010921,0.033211946,TRUE,TRUE
184,98.02561253,5432,5432,5432,318,252,1.610896349,1.722532034,1.721369028,0.034009457,TRUE,TRUE
185,98.05679769,3578,3578,3578,332,252,1.61821866,1.67502594,1.716352701,0.032549143,TRUE,TRUE
186,98.1462242,8362,8362,8362,251,252,1.465396881,1.753720284,1.704152584,0.032510042,TRUE,TRUE
187,98.06148131,5341,5341,5341,319,252,1.493729353,1.677154303,1.691456556,0.03251195,TRUE,TRUE
188,98.08708089,3461,3461,3461,324,252,1.488956451,1.677351236,1.737025976,0.032086372,TRUE,TRUE
189,98.05224049,8260,8260,8260,251,252,1.668183088,1.694608927,1.610115767,0.033006907,TRUE,TRUE
190,97.96698119,5374,5374,5374,314,252,1.500774145,1.6726439,1.753391743,0.034005165,TRUE,TRUE
191,98.2317032,3272,3272,3272,333,252,1.492471933,1.69685626,1.72111845,0.030005455,TRUE,TRUE
192,98.63395357,2083,2083,2083,448,252,1.536527157,1.810662985,1.655840158,0.024734497,TRUE,TRUE
193,98.62785186,2131,2131,2131,427,252,1.535031557,1.859307766,1.647488356,0.025512457,TRUE,TRUE
194,91.12053982,2165,2165,2165,433,252,1.556704283,1.731840372,1.659826756,0.153778076,TRUE,TRUE
195,98.64593728,2081,2081,2081,412,252,1.540396214,1.809995651,1.638581038,0.024508476,TRUE,TRUE
196,98.6243453,2082,2082,2082,402,252,1.532787323,1.74508667,1.7493577,0.024006367,TRUE,TRUE
197,98.50892167,2084,2084,2084,412,252,1.530917883,1.705602646,1.73954916,0.025431871,TRUE,TRUE
198,98.71310386,2084,2084,2084,908,252,1.765429497,1.977385044,1.98794198,0.025446892,TRUE,TRUE
199,98.62989251,2075,2075,2075,813,252,1.641851425,1.935754776,1.936222315,0.026521921,TRUE,TRUE
200,98.73699949,2189,2189,2189,901,252,1.805333853,1.979873896,2.014014482,0.025005817,TRUE,TRUE
201,98.73148941,2044,2044,2044,891,252,1.799753428,1.981799126,1.985840082,0.025139332,TRUE,TRUE
202,90.89631153,2084,2084,2084,912,252,1.82293725,2.014902353,1.938711882,0.183430433,TRUE,TRUE
203,98.74121919,2125,2125,2125,924,252,1.80257988,2.145534754,1.880232096,0.02700758,TRUE,TRUE
204,98.78804257,2093,2093,2093,1413,252,2.00693202,2.354662895,2.297744989,0.028537512,TRUE,TRUE
205,98.812787,2130,2130,2130,1402,252,1.986210585,2.374198914,2.242712021,0.028186798,TRUE,TRUE
206,98.8058932,2038,2038,2038,1342,252,1.936248541,2.345397711,2.177321672,0.028006554,TRUE,TRUE
207,98.6715933,2082,2082,2082,1593,252,2.247997522,2.286448479,2.284561634,0.030373335,TRUE,TRUE
208,98.70572241,2070,2070,2070,1671,252,2.049117327,2.320103645,2.324774504,0.030028582,TRUE,TRUE
