,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2
689,1171420.0,781563.0,1171420.0,1212063.0,774566.0,1212063.0,1168339.0,780720.0,1168339.0
690,1138718.0,785600.0,1138718.0,1188894.0,776032.0,1188894.0,1130917.0,780630.0,1130917.0
691,1129683.0,737138.0,1129683.0,1142992.0,740323.0,1142992.0,1130378.0,730414.0,1130378.0
692,1161992.0,743737.0,1161992.0,1197070.0,743774.0,1197070.0,1178332.0,743691.0,1178332.0
693,1167236.0,762902.0,1167236.0,1236057.0,766967.0,1236057.0,1174565.0,765826.0,1174565.0
694,1138727.0,754694.0,1138727.0,1239833.0,737398.0,1239833.0,1147525.0,743678.0,1147525.0
695,1149473.0,735127.0,1149473.0,1212742.0,734039.0,1212742.0,1157142.0,737669.0,1157142.0
696,1134561.0,732349.0,1134561.0,1193953.0,728431.0,1193953.0,1136753.0,738946.0,1136753.0
697,1133360.0,742669.0,1133360.0,1172653.0,718219.0,1172653.0,1299828.0,743029.0,1299828.0
698,1159670.0,745842.0,1159670.0,1245598.0,742091.0,1245598.0,1206262.0,745002.0,1206262.0
699,1127297.0,752310.0,1127297.0,1184867.0,746174.0,1184867.0,1165713.0,748664.0,1165713.0
700,1096730.0,736040.0,1096730.0,1123199.0,735075.0,1123199.0,1115954.0,737555.0,1115954.0
701,1175019.0,742886.0,1175019.0,1170294.0,747229.0,1170294.0,1163895.0,740692.0,1163895.0
702,1126380.0,747388.0,1126380.0,1141306.0,756129.0,1141306.0,1124618.0,747673.0,1124618.0
703,1118551.0,726171.0,1118551.0,1205039.0,718985.0,1205039.0,1173279.0,729506.0,1173279.0
704,1149352.0,739275.0,1149352.0,1321228.0,735188.0,1321228.0,1280957.0,739178.0,1280957.0
705,1133664.0,665706.0,1133664.0,1217803.0,653363.0,1217803.0,1131762.0,662944.0,1131762.0
706,1140945.0,765642.0,1140945.0,1215286.0,757912.0,1215286.0,1144142.0,763224.0,1144142.0
707,1137310.0,742359.0,1137310.0,1248573.0,746754.0,1248573.0,1178096.0,740704.0,1178096.0
708,1138195.0,736838.0,1138195.0,1238029.0,736854.0,1238029.0,1151554.0,732554.0,1151554.0
709,1148882.0,737178.0,1148882.0,1207648.0,737253.0,1207648.0,1142538.0,737178.0,1142538.0
710,1203654.0,751408.0,1203654.0,1201370.0,747948.0,1201370.0,1188884.0,757428.0,1188884.0
711,1127678.0,767907.0,1127678.0,1134655.0,766857.0,1134655.0,1161639.0,767013.0,1161639.0
712,1132155.0,743911.0,1132155.0,1154853.0,745467.0,1154853.0,1134999.0,744613.0,1134999.0
713,1168525.0,796877.0,1168525.0,1264668.0,784102.0,1264668.0,1166138.0,787810.0,1166138.0
714,1160282.0,733706.0,1160282.0,1284005.0,736962.0,1284005.0,1157527.0,738049.0,1157527.0
715,1112248.0,756000.0,1112248.0,1274798.0,755792.0,1274798.0,1114217.0,757408.0,1114217.0
716,1182393.0,757097.0,1182393.0,1261736.0,748672.0,1261736.0,1207346.0,748116.0,1207346.0
717,1158939.0,730098.0,1158939.0,1273234.0,724450.0,1273234.0,1156614.0,726808.0,1156614.0
718,1122204.0,756604.0,1122204.0,1254678.0,738780.0,1254678.0,1122925.0,755091.0,1122925.0
719,1142742.0,754883.0,1142742.0,1265269.0,750396.0,1265269.0,1144521.0,751366.0,1144521.0
720,1157685.0,756082.0,1157685.0,1301495.0,749677.0,1301495.0,1269306.0,753236.0,1269306.0
721,1187081.0,747215.0,1187081.0,1268032.0,742509.0,1268032.0,1187195.0,752763.0,1187195.0
722,1115455.0,757532.0,1115455.0,1140239.0,758085.0,1140239.0,1122620.0,761109.0,1122620.0
723,1110090.0,754877.0,1110090.0,1132466.0,742696.0,1132466.0,1186088.0,745819.0,1186088.0
724,1169761.0,766854.0,1169761.0,1178898.0,769498.0,1178898.0,1291089.0,767943.0,1291089.0
725,1124169.0,760709.0,1124169.0,1166075.0,757539.0,1166075.0,1126705.0,756265.0,1126705.0
726,1160108.0,765787.0,1160108.0,1153233.0,762746.0,1153233.0,1153536.0,765229.0,1153536.0
727,1218772.0,788954.0,1218772.0,1342001.0,777453.0,1342001.0,1212874.0,784618.0,1212874.0
728,1140592.0,766592.0,1140592.0,1208604.0,758478.0,1208604.0,1136771.0,766148.0,1136771.0
729,1138663.0,743368.0,1138663.0,1206477.0,739825.0,1206477.0,1134728.0,745949.0,1134728.0
730,1111851.0,746731.0,1111851.0,1153465.0,742597.0,1153465.0,1110791.0,746669.0,1110791.0
731,1168268.0,734328.0,1168268.0,1274859.0,734864.0,1274859.0,1172636.0,746186.0,1172636.0
732,1172770.0,738068.0,1172770.0,1224127.0,738085.0,1224127.0,1169576.0,741053.0,1169576.0
733,1187549.0,773437.0,1187549.0,1216606.0,769997.0,1216606.0,1191088.0,775704.0,1191088.0
734,1149825.0,763811.0,1149825.0,1220914.0,754308.0,1220914.0,1170128.0,763494.0,1170128.0
735,1128177.0,772208.0,1128177.0,1168840.0,771534.0,1168840.0,1130037.0,773443.0,1130037.0
736,1182083.0,745592.0,1182083.0,1208621.0,747155.0,1208621.0,1192313.0,743647.0,1192313.0
737,1090362.0,696443.0,1090362.0,1212810.0,694626.0,1212810.0,1163541.0,700791.0,1163541.0
738,1153888.0,758983.0,1153888.0,1278027.0,760710.0,1278027.0,1154744.0,760335.0,1154744.0
739,1198594.0,770612.0,1198594.0,1202930.0,769760.0,1202930.0,1209114.0,769985.0,1209114.0
740,1138540.0,740010.0,1138540.0,1240752.0,738422.0,1240752.0,1253792.0,738095.0,1253792.0
741,1138783.0,768828.0,1138783.0,1295892.0,767799.0,1295892.0,1201870.0,768828.0,1201870.0
742,1131805.0,752747.0,1131805.0,1250343.0,748109.0,1250343.0,1128789.0,749416.0,1128789.0
743,1169108.0,780968.0,1169108.0,1204307.0,788012.0,1204307.0,1180763.0,783328.0,1180763.0
744,1174913.0,772898.0,1174913.0,1217557.0,760924.0,1217557.0,1178465.0,770842.0,1178465.0
745,1190244.0,820822.0,1190244.0,1206923.0,815033.0,1206923.0,1191401.0,819001.0,1191401.0
746,1154097.0,752764.0,1154097.0,1209926.0,752659.0,1209926.0,1148408.0,754051.0,1148408.0
747,1165099.0,728271.0,1165099.0,1213125.0,723242.0,1213125.0,1160882.0,732972.0,1160882.0
748,1150028.0,772583.0,1150028.0,1166845.0,756754.0,1166845.0,1150684.0,762459.0,1150684.0
749,1178701.0,760737.0,1178701.0,1271773.0,759063.0,1271773.0,1203466.0,758392.0,1203466.0
750,1148823.0,759186.0,1148823.0,1252070.0,757107.0,1252070.0,1343245.0,766366.0,1343245.0
751,1141168.0,766134.0,1141168.0,1335214.0,767429.0,1335214.0,1141261.0,766134.0,1141261.0
752,1113816.0,745163.0,1113816.0,1229729.0,752576.0,1229729.0,1137234.0,744814.0,1137234.0
