,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,SPT_MAKESPAN,SPT_C1,SPT_C2
173,1162561.0,772909.0,1162561.0,1187665.0,771698.0,1187665.0,1212837.0,775834.0,1212837.0
174,1131159.0,763089.0,1131159.0,1182329.0,765429.0,1182329.0,1293550.0,763591.0,1293550.0
175,1151762.0,765969.0,1151762.0,1209969.0,757174.0,1209969.0,1136350.0,762648.0,1136350.0
176,1118575.0,758990.0,1118575.0,1304394.0,758357.0,1304394.0,1341819.0,768198.0,1341819.0
177,1082040.0,755292.0,1082040.0,1095758.0,757781.0,1095758.0,1261481.0,758332.0,1261481.0
178,1139750.0,753110.0,1139750.0,1257431.0,755014.0,1257431.0,1310670.0,756206.0,1310670.0
179,1138307.0,708554.0,1138307.0,1190820.0,701602.0,1190820.0,1178689.0,706742.0,1178689.0
180,1139084.0,705355.0,1139084.0,1139065.0,698473.0,1139065.0,1203589.0,702357.0,1203589.0
181,1166643.0,810690.0,1166643.0,1241798.0,799744.0,1241798.0,1162741.0,790900.0,1162741.0
182,1101576.0,804939.0,1101576.0,1245246.0,794586.0,1245246.0,1237585.0,775855.0,1237585.0
183,1206828.0,770198.0,1206828.0,1227112.0,769141.0,1227112.0,1381656.0,771532.0,1381656.0
184,1105373.0,769696.0,1105373.0,1290259.0,762022.0,1290259.0,1111565.0,763282.0,1111565.0
185,1116494.0,763701.0,1116494.0,1146607.0,758598.0,1146607.0,1187644.0,758420.0,1187644.0
186,1189833.0,750157.0,1189833.0,1207404.0,747705.0,1207404.0,1183933.0,751872.0,1183933.0
187,1143319.0,798573.0,1143319.0,1205119.0,793569.0,1205119.0,1180348.0,795585.0,1180348.0
188,1139384.0,735257.0,1139384.0,1166790.0,734236.0,1166790.0,1137542.0,733863.0,1137542.0
189,1114858.0,709929.0,1114858.0,1248631.0,710840.0,1248631.0,1127330.0,712253.0,1127330.0
190,1131073.0,753336.0,1131073.0,1341085.0,751010.0,1341085.0,1230545.0,768165.0,1230545.0
191,1131189.0,774882.0,1131189.0,1173026.0,770220.0,1173026.0,1174346.0,789062.0,1174346.0
192,1138667.0,732204.0,1138667.0,1266726.0,726734.0,1266726.0,1295599.0,736570.0,1295599.0
