,jiter_rate,dag_count,core_num,dag_set_id,fifo,self_s,self_d,self_opt,self_s_impro,self_d_impro,self_opt_impro,S_D_impro,S_opt_impro
9994,0.5,6.0,5.0,93.0,658975.8249738886,765853.8249738886,658975.8249738886,650507.8249738886,-16.218804385462086,0.0,1.2850243786007685,13.955404610487381,15.06109863771101
9995,0.5,6.0,5.0,94.0,886946.655229926,908962.9421141087,886946.655229926,864718.2379995758,-2.4822560358464134,0.0,2.506172958574138,2.4221325055316556,4.867602634231326
9996,0.5,6.0,5.0,95.0,598327.0653400992,589716.0653400992,589716.0653400992,567779.0653400992,1.4391794218945055,1.4391794218945055,5.105568805020713,0.0,3.719925789599875
9997,0.5,6.0,5.0,96.0,696446.5524888432,700872.5524888432,739835.5524888432,696446.5524888432,-0.6355117968755977,-6.230054531096997,0.0,-5.559213278026069,0.6314985490989754
9998,0.5,6.0,5.0,97.0,862751.5147377267,736886.5147377267,762012.5147377267,655584.9651493961,14.588789222614405,11.67647906484688,24.01230783713065,-3.40975163712188,11.033116763884257
9999,0.5,6.0,5.0,98.0,769585.3659190596,740227.5757859985,722933.5757859985,730068.3659190596,3.8147542083263573,6.0619383110733,5.1348429621979275,2.3363085307429476,1.3724441238427911
10000,0.5,6.0,5.0,99.0,1252953.7311052522,931488.0303662498,1092067.0303662498,914264.0303662498,25.656629830650797,12.84059392975999,27.031301502270022,-17.238976214956008,1.8490844153121035
10001,0.5,6.0,6.0,0.0,746233.9335845908,760492.7997371359,702362.7997371359,690104.7997371359,-1.91077697097632,5.879005479785223,7.521653910568554,7.643727859105651,9.255577439303776
10002,0.5,6.0,6.0,1.0,884721.0693943716,766231.0390158684,853320.0390158684,745352.0693943716,13.392925123803654,3.549257666034613,15.752874529754772,-11.365892996432947,2.7248921745996326
10003,0.5,6.0,6.0,2.0,662517.1637430072,643624.1637430072,593344.1637430072,555479.1637430072,2.8516997043911547,10.440937048210943,16.15626067636799,7.812012480637117,13.69510421849162
10004,0.5,6.0,6.0,3.0,796295.3119200886,809456.1428522832,797867.8766165623,743464.5324480087,-1.65275755554308,-0.19748511298927057,6.634571205083489,1.431611377348665,8.152586274994428
10005,0.5,6.0,6.0,4.0,812254.0227553969,748979.7870077116,804277.7870077116,702239.7870077116,7.789956586861962,0.9819878417625615,13.544314052700619,-7.383109792712022,6.240488837053056
10006,0.5,6.0,6.0,5.0,848940.4632102218,819473.1111125364,840631.4632102218,804022.8240438593,3.4710740475552635,0.9787494365128941,5.291023471364411,-2.5819458638441914,1.8853928041276977
10007,0.5,6.0,6.0,6.0,720785.6461414761,710775.2450584908,720785.6461414761,710775.2450584908,1.3888180399503254,0.0,1.3888180399503254,-1.4083778455398464,0.0
10008,0.5,6.0,6.0,7.0,829889.5343971687,800118.9033529065,832636.9033529065,720367.9033529065,3.587300455100639,-0.33105236803998045,13.197133655121782,-4.064145949274913,9.96739355435831
10009,0.5,6.0,6.0,8.0,788292.4240069428,865659.4240069428,800645.1130860279,749671.1130860279,-9.814505080074015,-1.5670186218834368,4.89936345253709,7.510379846611991,13.398838816313123
10010,0.5,6.0,6.0,9.0,628184.378332912,622844.3070184876,621526.7181085839,601484.378332912,0.8500802469166742,1.0598258176996187,4.250344472248257,0.21154386337909456,3.429417022020174
10011,0.5,6.0,6.0,10.0,502402.27271402674,501104.24520249263,501104.24520249263,501104.24520249263,0.2583641798676653,0.2583641798676653,0.2583641798676653,0.0,0.0
10012,0.5,6.0,6.0,11.0,706330.3040907352,706330.3040907352,706330.3040907352,706330.3040907352,0.0,0.0,0.0,0.0,0.0
